x	y
-6.914370855957296	1.2166372706927606
-5.232800832288327	1.1969337278894823
-3.9647033848787974	1.1436153846128694
-3.1073815500371653	1.0786790804256499
-2.448811973440329	1.0068187225466276
-1.9824154565167122	0.9414597217627032
-1.6138284225175625	0.8802332835667778
-1.3465071469026932	0.8304170621634612
-1.1380980034047854	0.7885392112972115
-0.9650298694980918	0.7518663842111726
-0.8319314698502974	0.722577219216294
-0.7166822830447241	0.6965107523281048
-0.6244794863807254	0.6752203396749539
-0.5417222762259551	0.6558050884608384
-0.47332712304133007	0.6395566368523301
-0.4129618509309166	0.6250745329264337
-0.3564960985391021	0.6114167739702051
-0.3080502160520204	0.5996195438125381
-0.2617383363739948	0.588278826026584
-0.22120204280857284	0.5783057840918671
-0.18173053477805431	0.5685564248079135
-0.14658270165545573	0.5598460293361335
-0.11341593739051077	0.5516039482199526
-0.08035965039638304	0.5433697271927155
-0.050267491956560086	0.5358588176312862
-0.01985888086359519	0.5282562903594626
0.008193319433819726	0.5212333392415983
0.03690726403331612	0.514036964296371
0.06373013479677023	0.5073090458323068
0.0902072633962777	0.500664198290791
0.11780530508102277	0.49373587049725043
0.1440527681976118	0.4871462057401543
0.17174133266073	0.4801961933866881
0.1983937350332722	0.47350955241887355
0.22685355298753826	0.46637521626074896
0.2545892277740193	0.4594304238451791
0.2831314399996113	0.45229449173669906
0.314198446230551	0.44454299781540363
0.34508060482854785	0.43685745344453264
0.37917539550062634	0.42840012111325854
0.41357918177593384	0.41990126130936617
0.45217531907212344	0.41041655264373345
0.49179943603061077	0.4007438231968422
0.5348457893375632	0.3903231532095319
0.5845965306634702	0.3784138979662695
0.6374072606431835	0.36596033105666254
0.7001639440886706	0.3514670063258961
0.7690587746465911	0.33602813482108235
0.8545784858526146	0.3177470739807955
0.9545398517500331	0.2980833296597192
